Year,prop.cycle,model
1996,0.0180081004,NTS2013
1999,0.0166502774,NTS2013
2002,0.0171552219,NTS2013
2003,0.0158372849,NTS2013
2004,0.0166565976,NTS2013
2005,0.0146289479,NTS2013
2006,0.0167746065,NTS2013
2007,0.0149690832,NTS2013
2008,0.0169735949,NTS2013
2009,0.0168409071,NTS2013
2010,0.0160056231,NTS2013
2011,0.0172711175,NTS2013
2012,0.0178971906,NTS2013
2013,0.0155823558,NTS2013
2010,0.0152970488,NTM
2015,0.0178465569,NTM
2020,0.0165718028,NTM
2025,0.0165718028,NTM
2030,0.0165718028,NTM
2035,0.0178465569,NTM
2040,0.0178465569,NTM
2007,0.028,TFL
2008,0.027,TFL
2009,0.029,TFL
2010,0.03,TFL
2011,0.031,TFL
2012,0.042,TFL
2013,0.039,TFL
