"","year","Scenario","Percentage"
"1",1996,"NTM",0.0159328435188177
"2",1999,"NTM",0.0159328435188177
"3",2002,"NTM",0.0159328435188177
"4",2003,"NTM",0.0159328435188177
"5",2004,"NTM",0.0159328435188177
"6",2005,"NTM",0.0159328435188177
"7",2006,"NTM",0.0159328435188177
"8",2007,"NTM",0.0159328435188177
"9",2008,"NTM",0.0159328435188177
"10",2009,"NTM",0.0159328435188177
"11",2010,"NTM",0.0159328435188177
"12",2011,"NTM",0.0159328435188177
"13",2012,"NTM",0.0159328435188177
"14",2013,"NTM",0.0159328435188177
"15",2015,"NTM",0.0159328435188177
"16",2016,"NTM",0.0159328435188177
"17",2017,"NTM",0.0159328435188177
"18",2018,"NTM",0.0159328435188177
"19",2019,"NTM",0.0159328435188177
"20",2020,"NTM",0.0159328435188177
"21",2021,"NTM",0.0159328435188177
"22",2022,"NTM",0.0159328435188177
"23",2023,"NTM",0.0159328435188177
"24",2024,"NTM",0.0159328435188177
"25",2025,"NTM",0.0159328435188177
"26",2026,"NTM",0.0159328435188177
"27",2027,"NTM",0.0159328435188177
"28",2028,"NTM",0.0159328435188177
"29",2029,"NTM",0.0159328435188177
"30",2030,"NTM",0.0159328435188177
"31",2031,"NTM",0.0159328435188177
"32",2032,"NTM",0.0159328435188177
"33",2033,"NTM",0.0159328435188177
"34",2034,"NTM",0.0159328435188177
"35",2035,"NTM",0.0159328435188177
"36",2036,"NTM",0.0159328435188177
"37",2037,"NTM",0.0159328435188177
"38",2038,"NTM",0.0159328435188177
"39",2039,"NTM",0.0159328435188177
"40",2040,"NTM",0.0159328435188177
"41",2041,"NTM",0.0159328435188177
"42",2042,"NTM",0.0159328435188177
"43",2043,"NTM",0.0159328435188177
"44",2044,"NTM",0.0159328435188177
"45",2045,"NTM",0.0159328435188177
"46",2046,"NTM",0.0159328435188177
"47",2047,"NTM",0.0159328435188177
"48",2048,"NTM",0.0159328435188177
"49",2049,"NTM",0.0159328435188177
"50",2050,"NTM",0.0159328435188177
"51",1996,"CDP2",NA
"52",1999,"CDP2",NA
"53",2002,"CDP2",NA
"54",2003,"CDP2",NA
"55",2004,"CDP2",NA
"56",2005,"CDP2",NA
"57",2006,"CDP2",NA
"58",2007,"CDP2",NA
"59",2008,"CDP2",NA
"60",2009,"CDP2",NA
"61",2010,"CDP2",NA
"62",2011,"CDP2",NA
"63",2012,"CDP2",NA
"64",2013,"CDP2",NA
"65",2015,"CDP2",0.0173621069942236
"66",2016,"CDP2",0.0186653734693178
"67",2017,"CDP2",0.0199818877006715
"68",2018,"CDP2",0.0213127640598985
"69",2019,"CDP2",0.0226591716962628
"70",2020,"CDP2",0.0240214268371231
"71",2021,"CDP2",0.0254002847915733
"72",2022,"CDP2",0.026797783900746
"73",2023,"CDP2",0.0282161897910396
"74",2024,"CDP2",0.0296564141037135
"75",2025,"CDP2",0.0311191401214583
"76",2026,"CDP2",0.0326066098799573
"77",2027,"CDP2",0.0341212648553241
"78",2028,"CDP2",0.0356649752863289
